k_line,orient_line,coor_x_1,coor_y_1,coor_x_2,coor_y_2
0,1,-20.5346749523184,-11.0312701886664,10.3,-11.0312701886664
1,1,-20.5346749523184,-10.9312701886664,10.3,-10.9312701886664
2,1,-20.5346749523184,-10.8312701886664,10.3,-10.8312701886664
3,1,-20.5346749523184,-10.7312701886664,10.3,-10.7312701886664
4,1,-20.5346749523184,-10.6312701886664,10.3,-10.6312701886664
5,1,-20.5346749523184,-10.5312701886664,10.3,-10.5312701886664
6,1,-20.5346749523184,-10.4312701886664,10.3,-10.4312701886664
7,1,-20.5346749523184,-10.3312701886664,10.3,-10.3312701886664
8,1,-20.5346749523184,-10.2312701886664,10.3,-10.2312701886664
9,1,-20.5346749523184,-10.1312701886664,10.3,-10.1312701886664
10,1,-20.5346749523184,-10.0312701886664,10.3,-10.0312701886664
11,1,-20.5346749523184,-9.93127018866641,10.3,-9.93127018866641
12,1,-20.5346749523184,-9.83127018866641,10.3,-9.83127018866641
13,1,-20.5346749523184,-9.73127018866641,10.3,-9.73127018866641
14,1,-20.5346749523184,-9.63127018866641,10.3,-9.63127018866641
15,1,-20.5346749523184,-9.53127018866641,10.3,-9.53127018866641
16,1,-20.5346749523184,-9.43127018866641,10.3,-9.43127018866641
17,1,-20.5346749523184,-9.33127018866641,10.3,-9.33127018866641
18,1,-20.5346749523184,-9.23127018866641,10.3,-9.23127018866641
19,1,-20.5346749523184,-9.13127018866641,10.3,-9.13127018866641
20,1,-20.5346749523184,-9.03127018866641,10.3,-9.03127018866641
21,1,-20.5346749523184,-8.93127018866641,10.3,-8.93127018866641
22,1,-20.5346749523184,-8.83127018866641,10.3,-8.83127018866641
23,1,-20.5346749523184,-8.73127018866641,10.3,-8.73127018866641
24,1,-20.5346749523184,-8.63127018866641,10.3,-8.63127018866641
25,1,-20.5346749523184,-8.53127018866641,10.3,-8.53127018866641
26,1,-20.5346749523184,-8.43127018866641,10.3,-8.43127018866641
27,1,-20.5346749523184,-8.33127018866641,10.3,-8.33127018866641
28,1,-20.5346749523184,-8.23127018866641,10.3,-8.23127018866641
29,1,-20.5346749523184,-8.13127018866641,10.3,-8.13127018866641
30,1,-20.5346749523184,-8.03127018866641,10.3,-8.03127018866641
31,1,-20.5346749523184,-7.93127018866641,10.3,-7.93127018866641
32,1,-20.5346749523184,-7.83127018866641,10.3,-7.83127018866641
33,1,-20.5346749523184,-7.73127018866641,10.3,-7.73127018866641
34,1,-20.5346749523184,-7.63127018866641,10.3,-7.63127018866641
35,1,-20.5346749523184,-7.53127018866641,10.3,-7.53127018866641
36,1,-20.5346749523184,-7.43127018866641,10.3,-7.43127018866641
37,1,-20.5346749523184,-7.33127018866641,10.3,-7.33127018866641
38,1,-20.5346749523184,-7.23127018866641,10.3,-7.23127018866641
39,1,-20.5346749523184,-7.13127018866641,10.3,-7.13127018866641
